number,name,status
541,Package Index Name Retention,F
542,Dot Notation Assignment In Function Header,R
543,A Unified TLS API for Python,W
544,Protocols: Structural subtyping (static duck typing),A
545,Python Documentation Translations,F
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,R
547,Running extension modules using the -m option,D
548,More Flexible Loop Control,R
549,Instance Descriptors,R
550,Execution Context,W
551,Security transparency in the Python runtime,W
552,Deterministic pycs,F
553,Built-in breakpoint(),F
554,Multiple Interpreters in the Stdlib,
555,Context-local variables (contextvars),W
556,Threaded garbage collection,D
557,Data Classes,F
558,Defined semantics for locals(),
559,Built-in noop(),R
560,Core support for typing module and generic types,A
561,Distributing and Packaging Type Information,F
562,Module __getattr__ and __dir__,F
563,Postponed Evaluation of Annotations,A
564,Add new time functions with nanosecond resolution,F
565,Show DeprecationWarning in __main__,F
566,Metadata for Python Software Packages 2.1,F
567,Context Variables,F
568,Generator-sensitivity for Context Variables,D
569,Python 3.8 Release Schedule,
570,Python Positional-Only Parameters,F
571,The manylinux2010 Platform Tag,S
572,Assignment Expressions,A
573,Module State Access from C Extension Methods,F
574,Pickle protocol 5 with out-of-band data,F
575,Unifying function/method classes,W
576,Rationalize Built-in function classes,W
577,Augmented Assignment Expressions,W
578,Python Runtime Audit Hooks,A
579,Refactoring C functions and methods,F
580,The C call protocol,R
581,Using GitHub Issues for CPython,A
582,Python local packages directory,
583,A Concurrency Memory Model for Python,W
584,Add Union Operators To dict,F
585,Type Hinting Generics In Standard Collections,A
586,Literal Types,A
587,Python Initialization Configuration,F
588,GitHub Issues Migration Plan,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,A
590,Vectorcall: a fast calling protocol for CPython,A
591,Adding a final qualifier to typing,A
592,Adding “Yank” Support to the Simple API,F
593,Flexible function and variable annotations,A
594,Removing dead batteries from the standard library,A
595,Improving bugs.python.org,W
596,Python 3.9 Release Schedule,
597,Add optional EncodingWarning,F
598,Introducing incremental feature releases,W
599,The manylinux2014 Platform Tag,S
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,F
601,Forbid return/break/continue breaking out of finally,R
602,Annual Release Cycle for Python,A
603,Adding a frozenmap type to collections,
604,Allow writing union types as X | Y,A
605,A rolling feature release stream for CPython,R
606,Python Compatibility Version,R
607,Reducing CPython’s Feature Delivery Latency,F
608,Coordinated Python release,R
609,Python Packaging Authority (PyPA) Governance,
610,Recording the Direct URL Origin of installed distributions,F
611,The one million limit,W
612,Parameter Specification Variables,A
613,Explicit Type Aliases,A
614,Relaxing Grammar Restrictions On Decorators,F
615,Support for the IANA Time Zone Database in the Standard Library,A
616,String methods to remove prefixes and suffixes,A
617,New PEG parser for CPython,A
618,Add Optional Length-Checking To zip,F
619,Python 3.10 Release Schedule,
620,Hide implementation details from the C API,
621,Storing project metadata in pyproject.toml,F
622,Structural Pattern Matching,S
623,Remove wstr from Unicode,F
624,Remove Py_UNICODE encoder APIs,F
625,Filename of a Source Distribution,D
626,Precise line numbers for debugging and other tools.,F
627,Recording installed projects,F
628,Add math.tau,F
629,Versioning PyPI’s Simple API,F
630,Isolating Extension Modules,
631,Dependency specification in pyproject.toml based on PEP 508,S
632,Deprecate distutils module,A
633,Dependency specification in pyproject.toml using an exploded TOML table,R
634,Structural Pattern Matching: Specification,A
635,Structural Pattern Matching: Motivation and Rationale,F
636,Structural Pattern Matching: Tutorial,F
637,Support for indexing with keyword arguments,R
638,Syntactic Macros,
639,Improving License Clarity with Better Package Metadata,
640,Unused variable syntax,R
641,Using an underscore in the version portion of Python 3.10 compatibility tags,R
642,Explicit Pattern Syntax for Structural Pattern Matching,R
643,Metadata for Package Source Distributions,F
644,Require OpenSSL 1.1.1 or newer,F
645,Allow writing optional types as x?,W
646,Variadic Generics,A
647,User-Defined Type Guards,A
648,Extensible customizations of the interpreter at startup,R
649,Deferred Evaluation Of Annotations Using Descriptors,
650,Specifying Installer Requirements for Python Projects,W
651,Robust Stack Overflow Handling,R
652,Maintaining the Stable ABI,F
653,Precise Semantics for Pattern Matching,
654,Exception Groups and except*,A
655,Marking individual TypedDict items as required or potentially-missing,A
656,Platform Tag for Linux Distributions Using Musl,F
657,Include Fine Grained Error Locations in Tracebacks,F
658,Serve Distribution Metadata in the Simple Repository API,A
659,Specializing Adaptive Interpreter,
660,Editable installs for pyproject.toml based builds (wheel based),F
661,Sentinel Values,
662,Editable installs via virtual wheels,R
